,music,pets,flying,storm,darkness,heights,spiders,snakes,rats,ageing,dangerous_dogs,fear_of_public_speaking,smoking,alcohol,parents'_advice,internet_usage,branded_clothing,gender,left_-_right_handed,only_child
28,5.0,3.0,1.0,1.0,2.0,4.0,4.0,4,3.0,4.0,1.0,2.0,former smoker,social drinker,3.0,few hours a day,5.0,male,left handed,yes
29,5.0,2.0,3.0,3.0,4.0,5.0,5.0,5,5.0,5.0,5.0,3.0,tried smoking,social drinker,3.0,few hours a day,1.0,female,right handed,no
30,4.0,3.0,1.0,1.0,1.0,3.0,5.0,3,3.0,4.0,3.0,4.0,former smoker,drink a lot,3.0,few hours a day,5.0,male,right handed,no
31,4.0,1.0,1.0,1.0,1.0,1.0,2.0,5,3.0,1.0,3.0,2.0,tried smoking,social drinker,3.0,less than an hour a day,3.0,female,right handed,no
32,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5,5.0,1.0,5.0,2.0,current smoker,social drinker,3.0,few hours a day,1.0,female,left handed,no
33,5.0,5.0,1.0,5.0,2.0,4.0,4.0,5,3.0,1.0,2.0,4.0,tried smoking,social drinker,4.0,few hours a day,2.0,female,right handed,no
34,5.0,1.0,1.0,2.0,2.0,1.0,2.0,2,2.0,1.0,2.0,3.0,tried smoking,social drinker,2.0,few hours a day,4.0,male,right handed,no
35,5.0,5.0,3.0,5.0,3.0,3.0,4.0,5,4.0,5.0,5.0,1.0,tried smoking,social drinker,3.0,few hours a day,3.0,female,right handed,no
36,5.0,5.0,3.0,1.0,4.0,3.0,5.0,4,1.0,3.0,2.0,5.0,never smoked,social drinker,5.0,few hours a day,4.0,female,right handed,no
37,5.0,3.0,1.0,1.0,1.0,3.0,,1,1.0,3.0,3.0,2.0,former smoker,social drinker,3.0,few hours a day,5.0,male,right handed,no
38,5.0,5.0,3.0,4.0,2.0,4.0,5.0,1,1.0,1.0,3.0,2.0,tried smoking,social drinker,4.0,few hours a day,1.0,female,right handed,no
39,5.0,5.0,3.0,3.0,2.0,2.0,5.0,5,5.0,3.0,4.0,4.0,never smoked,never,3.0,few hours a day,3.0,female,right handed,no
40,4.0,2.0,1.0,3.0,5.0,3.0,5.0,2,5.0,3.0,5.0,3.0,never smoked,social drinker,1.0,few hours a day,1.0,female,right handed,no
41,5.0,3.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,2.0,tried smoking,social drinker,3.0,few hours a day,1.0,male,right handed,no
42,5.0,5.0,1.0,1.0,3.0,1.0,5.0,1,1.0,1.0,3.0,5.0,never smoked,never,2.0,few hours a day,1.0,female,right handed,yes
43,5.0,5.0,1.0,3.0,4.0,5.0,5.0,5,3.0,2.0,4.0,1.0,tried smoking,drink a lot,3.0,most of the day,5.0,female,right handed,no
44,4.0,5.0,3.0,2.0,4.0,5.0,5.0,5,3.0,3.0,5.0,3.0,current smoker,social drinker,3.0,few hours a day,3.0,female,right handed,no
45,5.0,4.0,5.0,2.0,2.0,5.0,5.0,4,1.0,5.0,4.0,4.0,never smoked,social drinker,1.0,most of the day,4.0,male,right handed,no
46,5.0,4.0,1.0,1.0,1.0,1.0,1.0,2,1.0,1.0,2.0,1.0,current smoker,social drinker,4.0,few hours a day,3.0,female,right handed,no
47,5.0,5.0,1.0,2.0,1.0,3.0,1.0,3,5.0,3.0,4.0,4.0,tried smoking,social drinker,3.0,few hours a day,4.0,female,right handed,yes
48,5.0,2.0,3.0,1.0,2.0,2.0,2.0,3,3.0,5.0,3.0,1.0,current smoker,social drinker,3.0,few hours a day,3.0,female,right handed,yes
49,5.0,5.0,3.0,1.0,5.0,4.0,5.0,3,2.0,3.0,2.0,5.0,tried smoking,social drinker,3.0,few hours a day,1.0,female,right handed,no
50,4.0,5.0,1.0,2.0,1.0,2.0,2.0,2,4.0,2.0,5.0,4.0,tried smoking,social drinker,3.0,few hours a day,3.0,female,right handed,no
51,5.0,4.0,3.0,1.0,3.0,1.0,5.0,1,1.0,1.0,2.0,2.0,never smoked,never,4.0,less than an hour a day,1.0,female,right handed,no
52,5.0,3.0,3.0,3.0,5.0,4.0,5.0,5,4.0,3.0,1.0,3.0,current smoker,social drinker,3.0,few hours a day,1.0,female,right handed,no
53,5.0,1.0,3.0,1.0,1.0,1.0,5.0,1,3.0,1.0,3.0,5.0,tried smoking,social drinker,4.0,less than an hour a day,3.0,female,right handed,no
54,5.0,1.0,3.0,2.0,5.0,5.0,3.0,5,4.0,1.0,5.0,2.0,current smoker,social drinker,3.0,few hours a day,2.0,female,right handed,no
55,5.0,5.0,2.0,2.0,5.0,3.0,5.0,5,5.0,3.0,5.0,4.0,current smoker,drink a lot,2.0,few hours a day,3.0,female,right handed,no
56,5.0,3.0,3.0,1.0,5.0,3.0,3.0,5,1.0,5.0,1.0,3.0,current smoker,drink a lot,3.0,few hours a day,3.0,female,left handed,
57,5.0,5.0,2.0,2.0,2.0,2.0,5.0,3,3.0,4.0,4.0,5.0,current smoker,drink a lot,5.0,few hours a day,4.0,female,right handed,no
58,5.0,3.0,1.0,1.0,2.0,5.0,1.0,5,3.0,5.0,4.0,3.0,never smoked,social drinker,4.0,few hours a day,2.0,male,right handed,no
59,5.0,1.0,5.0,1.0,1.0,4.0,2.0,3,1.0,1.0,2.0,5.0,current smoker,drink a lot,3.0,few hours a day,3.0,male,right handed,no
60,5.0,1.0,1.0,1.0,1.0,2.0,2.0,3,2.0,2.0,3.0,5.0,tried smoking,social drinker,3.0,most of the day,2.0,male,right handed,no
61,5.0,5.0,1.0,1.0,1.0,3.0,3.0,4,4.0,4.0,4.0,2.0,current smoker,social drinker,4.0,few hours a day,5.0,male,left handed,no
62,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5,5.0,5.0,5.0,4.0,never smoked,social drinker,4.0,few hours a day,3.0,male,right handed,no
63,5.0,3.0,3.0,2.0,2.0,4.0,,4,3.0,2.0,3.0,3.0,tried smoking,social drinker,3.0,few hours a day,5.0,male,right handed,no
64,5.0,5.0,1.0,2.0,5.0,3.0,5.0,1,3.0,5.0,4.0,3.0,former smoker,social drinker,4.0,most of the day,5.0,female,right handed,yes
65,4.0,3.0,1.0,1.0,2.0,2.0,1.0,2,1.0,4.0,2.0,4.0,tried smoking,social drinker,3.0,few hours a day,3.0,male,left handed,yes
66,4.0,1.0,3.0,2.0,3.0,5.0,1.0,3,2.0,1.0,1.0,3.0,tried smoking,social drinker,3.0,less than an hour a day,3.0,male,right handed,no
67,3.0,4.0,1.0,1.0,2.0,4.0,1.0,3,2.0,2.0,5.0,2.0,never smoked,never,2.0,few hours a day,2.0,female,right handed,yes
68,5.0,4.0,3.0,5.0,2.0,2.0,4.0,5,3.0,1.0,3.0,5.0,tried smoking,drink a lot,2.0,few hours a day,3.0,female,right handed,no
69,5.0,4.0,2.0,5.0,1.0,1.0,1.0,5,5.0,1.0,5.0,3.0,tried smoking,social drinker,4.0,most of the day,3.0,female,left handed,no
70,5.0,2.0,2.0,2.0,2.0,2.0,4.0,3,3.0,3.0,4.0,3.0,former smoker,social drinker,5.0,few hours a day,2.0,male,right handed,yes
71,4.0,5.0,1.0,1.0,1.0,4.0,3.0,4,3.0,5.0,5.0,1.0,tried smoking,never,3.0,few hours a day,2.0,male,left handed,yes
72,5.0,2.0,1.0,3.0,3.0,3.0,5.0,5,4.0,3.0,4.0,4.0,former smoker,social drinker,3.0,few hours a day,2.0,female,right handed,no
73,5.0,5.0,5.0,2.0,1.0,3.0,3.0,3,3.0,5.0,3.0,5.0,former smoker,social drinker,4.0,few hours a day,4.0,male,right handed,yes
74,5.0,3.0,5.0,5.0,1.0,4.0,3.0,4,3.0,3.0,5.0,2.0,tried smoking,social drinker,4.0,few hours a day,5.0,male,right handed,no
75,5.0,4.0,2.0,1.0,2.0,5.0,1.0,2,1.0,1.0,2.0,1.0,tried smoking,drink a lot,3.0,few hours a day,4.0,male,right handed,no
76,4.0,3.0,2.0,3.0,2.0,3.0,1.0,5,2.0,1.0,3.0,3.0,tried smoking,social drinker,4.0,few hours a day,2.0,male,right handed,no
77,5.0,1.0,1.0,1.0,1.0,3.0,5.0,5,2.0,2.0,5.0,3.0,tried smoking,social drinker,4.0,few hours a day,5.0,female,right handed,no
78,4.0,3.0,1.0,1.0,1.0,1.0,3.0,3,3.0,5.0,3.0,4.0,never smoked,never,4.0,few hours a day,1.0,female,right handed,no
79,5.0,5.0,2.0,3.0,2.0,4.0,5.0,5,5.0,2.0,3.0,4.0,former smoker,social drinker,4.0,few hours a day,3.0,female,right handed,no
80,5.0,5.0,2.0,1.0,4.0,2.0,3.0,4,3.0,1.0,3.0,4.0,tried smoking,social drinker,3.0,few hours a day,1.0,female,right handed,no
81,5.0,2.0,1.0,1.0,2.0,2.0,1.0,1,1.0,1.0,4.0,1.0,tried smoking,social drinker,3.0,few hours a day,4.0,male,right handed,no
82,5.0,5.0,2.0,1.0,5.0,2.0,3.0,4,1.0,1.0,3.0,5.0,never smoked,social drinker,3.0,few hours a day,1.0,female,right handed,no
83,5.0,5.0,3.0,4.0,5.0,3.0,5.0,4,4.0,3.0,3.0,3.0,former smoker,social drinker,2.0,few hours a day,1.0,female,right handed,no
84,5.0,5.0,1.0,1.0,1.0,3.0,3.0,1,1.0,1.0,1.0,4.0,former smoker,drink a lot,4.0,few hours a day,5.0,female,right handed,yes
85,5.0,1.0,2.0,3.0,4.0,5.0,2.0,4,4.0,1.0,4.0,3.0,tried smoking,social drinker,2.0,most of the day,4.0,male,right handed,no
86,4.0,2.0,4.0,4.0,4.0,4.0,2.0,2,3.0,3.0,1.0,5.0,current smoker,social drinker,4.0,few hours a day,4.0,male,right handed,no
87,5.0,3.0,1.0,2.0,2.0,1.0,3.0,3,3.0,5.0,3.0,2.0,former smoker,social drinker,3.0,few hours a day,3.0,female,right handed,no
88,5.0,5.0,5.0,2.0,2.0,4.0,5.0,1,2.0,1.0,5.0,5.0,former smoker,drink a lot,5.0,few hours a day,5.0,female,right handed,yes
89,5.0,2.0,3.0,3.0,2.0,3.0,2.0,3,5.0,4.0,5.0,3.0,tried smoking,social drinker,4.0,few hours a day,2.0,female,right handed,no
90,4.0,3.0,2.0,3.0,1.0,3.0,5.0,3,1.0,5.0,4.0,3.0,tried smoking,social drinker,3.0,most of the day,4.0,female,right handed,no
91,5.0,1.0,1.0,3.0,1.0,1.0,5.0,5,5.0,5.0,5.0,1.0,never smoked,social drinker,4.0,few hours a day,5.0,female,right handed,no
92,5.0,3.0,2.0,1.0,2.0,1.0,1.0,2,1.0,1.0,2.0,2.0,never smoked,social drinker,4.0,few hours a day,4.0,female,right handed,yes
93,5.0,3.0,5.0,4.0,2.0,4.0,2.0,1,,1.0,1.0,1.0,current smoker,drink a lot,2.0,few hours a day,3.0,male,right handed,no
94,5.0,3.0,1.0,1.0,1.0,4.0,2.0,1,1.0,1.0,1.0,3.0,tried smoking,social drinker,1.0,most of the day,4.0,male,right handed,no
95,5.0,4.0,1.0,2.0,2.0,1.0,4.0,4,4.0,4.0,5.0,2.0,tried smoking,drink a lot,2.0,few hours a day,5.0,male,right handed,no
96,5.0,1.0,1.0,1.0,1.0,2.0,4.0,1,1.0,1.0,5.0,5.0,former smoker,drink a lot,2.0,few hours a day,1.0,male,right handed,no
97,5.0,5.0,1.0,1.0,2.0,3.0,2.0,4,1.0,1.0,1.0,2.0,tried smoking,drink a lot,3.0,most of the day,1.0,male,right handed,no
98,3.0,1.0,1.0,1.0,1.0,3.0,5.0,1,1.0,3.0,3.0,1.0,former smoker,drink a lot,1.0,few hours a day,4.0,male,right handed,no
99,5.0,4.0,2.0,2.0,3.0,3.0,5.0,2,1.0,2.0,2.0,4.0,never smoked,social drinker,4.0,less than an hour a day,2.0,female,left handed,no
100,5.0,2.0,3.0,4.0,3.0,5.0,4.0,3,3.0,1.0,5.0,3.0,tried smoking,drink a lot,4.0,few hours a day,1.0,female,right handed,no
101,5.0,3.0,2.0,1.0,1.0,2.0,5.0,5,3.0,1.0,3.0,3.0,tried smoking,social drinker,3.0,few hours a day,2.0,male,right handed,no
102,5.0,1.0,1.0,2.0,4.0,1.0,1.0,1,4.0,2.0,1.0,3.0,tried smoking,social drinker,3.0,few hours a day,3.0,female,right handed,yes
103,5.0,1.0,1.0,1.0,1.0,1.0,4.0,4,1.0,4.0,2.0,1.0,tried smoking,drink a lot,5.0,few hours a day,1.0,male,right handed,yes
104,4.0,2.0,1.0,1.0,1.0,3.0,1.0,1,1.0,1.0,1.0,1.0,tried smoking,drink a lot,4.0,few hours a day,2.0,male,right handed,no
105,5.0,4.0,1.0,2.0,1.0,2.0,1.0,4,2.0,1.0,2.0,2.0,never smoked,social drinker,3.0,few hours a day,2.0,male,right handed,no
106,5.0,1.0,2.0,1.0,1.0,1.0,2.0,2,2.0,3.0,2.0,3.0,former smoker,social drinker,3.0,few hours a day,1.0,male,right handed,no
107,5.0,4.0,4.0,2.0,5.0,1.0,1.0,1,3.0,1.0,,1.0,tried smoking,social drinker,5.0,less than an hour a day,3.0,female,right handed,no
108,4.0,3.0,1.0,1.0,2.0,4.0,5.0,3,2.0,5.0,4.0,2.0,never smoked,social drinker,2.0,few hours a day,4.0,female,right handed,no
109,5.0,1.0,3.0,1.0,3.0,2.0,1.0,4,4.0,1.0,3.0,4.0,tried smoking,drink a lot,3.0,few hours a day,4.0,male,right handed,yes
110,5.0,3.0,1.0,1.0,2.0,4.0,4.0,4,1.0,2.0,1.0,2.0,former smoker,drink a lot,3.0,few hours a day,4.0,male,right handed,no
111,5.0,1.0,2.0,2.0,2.0,3.0,5.0,4,5.0,1.0,5.0,5.0,tried smoking,social drinker,3.0,most of the day,1.0,female,right handed,no
112,5.0,3.0,2.0,4.0,3.0,1.0,4.0,4,1.0,2.0,3.0,3.0,never smoked,social drinker,3.0,less than an hour a day,2.0,female,left handed,no
113,3.0,5.0,1.0,1.0,3.0,,3.0,3,3.0,1.0,1.0,1.0,former smoker,social drinker,4.0,few hours a day,4.0,female,right handed,no
114,5.0,5.0,1.0,1.0,2.0,2.0,5.0,5,1.0,3.0,5.0,5.0,former smoker,drink a lot,4.0,less than an hour a day,3.0,female,right handed,no
115,5.0,3.0,1.0,1.0,4.0,5.0,5.0,5,3.0,5.0,5.0,2.0,tried smoking,social drinker,3.0,few hours a day,5.0,female,right handed,yes
116,5.0,4.0,4.0,2.0,5.0,5.0,5.0,5,1.0,3.0,5.0,4.0,former smoker,social drinker,4.0,few hours a day,1.0,female,right handed,no
117,5.0,5.0,3.0,1.0,2.0,4.0,3.0,5,3.0,2.0,2.0,4.0,never smoked,never,4.0,few hours a day,1.0,female,right handed,no
118,5.0,4.0,2.0,1.0,1.0,1.0,2.0,1,1.0,2.0,1.0,3.0,never smoked,social drinker,3.0,few hours a day,2.0,male,right handed,no
119,4.0,3.0,4.0,2.0,1.0,2.0,2.0,4,1.0,1.0,2.0,3.0,tried smoking,social drinker,4.0,few hours a day,1.0,female,right handed,no
120,5.0,5.0,1.0,1.0,2.0,1.0,1.0,4,4.0,1.0,1.0,2.0,never smoked,drink a lot,2.0,most of the day,1.0,male,right handed,yes
121,4.0,3.0,1.0,1.0,1.0,2.0,1.0,2,3.0,2.0,3.0,3.0,current smoker,social drinker,2.0,few hours a day,3.0,male,right handed,no
122,5.0,4.0,4.0,2.0,1.0,2.0,2.0,4,3.0,2.0,2.0,2.0,tried smoking,social drinker,3.0,few hours a day,2.0,female,right handed,yes
123,5.0,4.0,2.0,2.0,1.0,1.0,1.0,1,1.0,3.0,2.0,4.0,tried smoking,never,3.0,few hours a day,1.0,female,left handed,yes
124,4.0,4.0,1.0,1.0,1.0,2.0,1.0,1,1.0,1.0,2.0,1.0,current smoker,social drinker,3.0,few hours a day,3.0,male,right handed,no
125,5.0,5.0,3.0,2.0,2.0,2.0,4.0,3,2.0,4.0,4.0,3.0,never smoked,social drinker,4.0,few hours a day,2.0,female,right handed,no
126,3.0,1.0,4.0,3.0,5.0,4.0,1.0,4,4.0,4.0,5.0,3.0,tried smoking,social drinker,3.0,few hours a day,1.0,female,right handed,no
127,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2,2.0,4.0,2.0,2.0,tried smoking,social drinker,2.0,most of the day,1.0,female,right handed,no
128,5.0,5.0,1.0,1.0,1.0,3.0,1.0,1,1.0,5.0,5.0,5.0,never smoked,never,3.0,few hours a day,3.0,female,left handed,no
129,5.0,5.0,2.0,4.0,4.0,2.0,2.0,1,2.0,3.0,1.0,3.0,never smoked,social drinker,3.0,less than an hour a day,3.0,female,right handed,no
130,4.0,1.0,1.0,1.0,3.0,1.0,4.0,4,5.0,5.0,4.0,3.0,,,4.0,few hours a day,5.0,female,right handed,no
131,5.0,3.0,1.0,2.0,3.0,4.0,2.0,2,3.0,1.0,4.0,2.0,former smoker,social drinker,2.0,few hours a day,5.0,male,right handed,yes
132,5.0,5.0,1.0,1.0,2.0,1.0,5.0,3,5.0,3.0,1.0,4.0,tried smoking,never,2.0,most of the day,3.0,female,right handed,no
133,5.0,4.0,3.0,3.0,5.0,4.0,4.0,4,2.0,2.0,3.0,2.0,tried smoking,social drinker,4.0,less than an hour a day,4.0,female,right handed,no
134,5.0,4.0,3.0,3.0,3.0,3.0,5.0,3,1.0,5.0,5.0,5.0,former smoker,social drinker,1.0,few hours a day,5.0,female,right handed,yes
135,5.0,5.0,4.0,4.0,5.0,5.0,5.0,2,1.0,3.0,1.0,1.0,current smoker,drink a lot,3.0,few hours a day,3.0,male,right handed,no
136,5.0,3.0,1.0,1.0,2.0,4.0,5.0,3,1.0,1.0,3.0,2.0,never smoked,never,4.0,few hours a day,4.0,male,right handed,no
137,5.0,1.0,5.0,2.0,2.0,2.0,3.0,4,1.0,2.0,4.0,2.0,never smoked,never,5.0,few hours a day,1.0,,right handed,yes
138,5.0,3.0,1.0,1.0,1.0,1.0,1.0,2,2.0,1.0,4.0,3.0,never smoked,never,5.0,few hours a day,1.0,female,right handed,no
139,5.0,5.0,4.0,4.0,4.0,4.0,3.0,5,5.0,4.0,5.0,2.0,tried smoking,social drinker,4.0,few hours a day,3.0,female,right handed,no
140,5.0,5.0,2.0,2.0,2.0,5.0,2.0,4,3.0,2.0,4.0,3.0,tried smoking,social drinker,4.0,few hours a day,2.0,female,right handed,no
141,3.0,5.0,1.0,2.0,4.0,5.0,1.0,3,1.0,5.0,3.0,1.0,current smoker,social drinker,3.0,few hours a day,5.0,female,right handed,yes
142,5.0,1.0,3.0,3.0,1.0,4.0,4.0,4,4.0,4.0,5.0,3.0,never smoked,social drinker,2.0,most of the day,5.0,male,left handed,no
143,5.0,5.0,2.0,3.0,4.0,5.0,5.0,5,5.0,4.0,2.0,4.0,former smoker,social drinker,3.0,most of the day,5.0,female,right handed,no
144,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0,5.0,never smoked,social drinker,1.0,few hours a day,2.0,male,right handed,no
145,1.0,2.0,2.0,3.0,4.0,3.0,5.0,4,3.0,3.0,4.0,3.0,current smoker,social drinker,3.0,few hours a day,2.0,female,right handed,no
146,5.0,4.0,1.0,1.0,1.0,3.0,1.0,3,1.0,1.0,3.0,2.0,tried smoking,never,2.0,few hours a day,5.0,male,right handed,no
147,5.0,3.0,1.0,1.0,1.0,2.0,2.0,2,2.0,3.0,3.0,4.0,never smoked,social drinker,4.0,most of the day,1.0,male,right handed,no
148,4.0,1.0,1.0,2.0,2.0,3.0,2.0,3,2.0,2.0,4.0,3.0,never smoked,social drinker,4.0,few hours a day,4.0,male,right handed,no
149,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2,1.0,2.0,3.0,4.0,,never,3.0,few hours a day,1.0,male,right handed,no
150,5.0,1.0,2.0,1.0,2.0,1.0,5.0,2,1.0,3.0,3.0,3.0,tried smoking,never,3.0,few hours a day,2.0,female,right handed,no
151,5.0,3.0,3.0,2.0,1.0,4.0,3.0,3,4.0,2.0,2.0,4.0,tried smoking,never,3.0,few hours a day,4.0,male,right handed,no
152,5.0,4.0,5.0,1.0,3.0,3.0,2.0,3,3.0,5.0,4.0,1.0,tried smoking,drink a lot,4.0,few hours a day,1.0,male,right handed,no
153,2.0,1.0,1.0,3.0,2.0,3.0,5.0,4,4.0,4.0,5.0,3.0,tried smoking,social drinker,4.0,few hours a day,3.0,female,right handed,yes
154,5.0,3.0,1.0,1.0,2.0,2.0,5.0,3,2.0,3.0,1.0,3.0,former smoker,drink a lot,3.0,few hours a day,5.0,male,right handed,no
155,5.0,4.0,1.0,1.0,5.0,1.0,2.0,1,5.0,3.0,1.0,3.0,tried smoking,social drinker,5.0,few hours a day,3.0,female,right handed,no
156,5.0,4.0,1.0,1.0,1.0,5.0,1.0,1,1.0,1.0,5.0,2.0,never smoked,drink a lot,3.0,few hours a day,1.0,male,left handed,yes
157,5.0,2.0,1.0,1.0,1.0,1.0,2.0,2,2.0,2.0,5.0,2.0,former smoker,social drinker,4.0,most of the day,3.0,male,right handed,no
158,5.0,5.0,3.0,3.0,2.0,1.0,5.0,2,2.0,3.0,5.0,4.0,tried smoking,never,3.0,few hours a day,4.0,female,right handed,no
159,5.0,5.0,2.0,2.0,3.0,4.0,2.0,2,3.0,2.0,3.0,2.0,tried smoking,social drinker,3.0,few hours a day,3.0,male,right handed,no
160,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1,1.0,1.0,1.0,2.0,tried smoking,social drinker,2.0,few hours a day,1.0,male,right handed,no
161,5.0,5.0,1.0,2.0,1.0,1.0,4.0,1,1.0,5.0,1.0,3.0,current smoker,social drinker,3.0,few hours a day,2.0,female,left handed,yes
162,4.0,2.0,1.0,1.0,1.0,2.0,2.0,5,3.0,1.0,3.0,2.0,tried smoking,social drinker,2.0,few hours a day,3.0,male,left handed,yes
163,5.0,1.0,3.0,3.0,2.0,4.0,4.0,3,2.0,2.0,3.0,4.0,current smoker,social drinker,4.0,most of the day,3.0,male,right handed,no
164,5.0,4.0,2.0,1.0,3.0,2.0,2.0,2,2.0,4.0,1.0,4.0,current smoker,social drinker,4.0,most of the day,3.0,male,right handed,no
165,5.0,2.0,3.0,2.0,2.0,4.0,4.0,4,5.0,4.0,4.0,4.0,tried smoking,social drinker,5.0,few hours a day,4.0,female,right handed,yes
166,5.0,1.0,1.0,1.0,2.0,2.0,4.0,1,1.0,3.0,2.0,1.0,former smoker,drink a lot,4.0,few hours a day,1.0,female,right handed,no
167,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4,3.0,3.0,4.0,4.0,current smoker,drink a lot,2.0,few hours a day,1.0,male,right handed,no
168,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,2.0,1.0,tried smoking,social drinker,3.0,most of the day,5.0,female,right handed,yes
169,5.0,4.0,1.0,2.0,1.0,1.0,5.0,3,1.0,1.0,1.0,3.0,current smoker,social drinker,3.0,few hours a day,3.0,female,right handed,yes
170,4.0,4.0,2.0,2.0,4.0,3.0,3.0,5,4.0,3.0,3.0,2.0,never smoked,drink a lot,4.0,few hours a day,1.0,male,right handed,no
